application_id,job_id,user_id,status
1,18483,383,1
2,18642,383,0
3,18483,447,1
4,18642,447,2
5,18483,782,1
6,18642,782,0
7,18483,1571,1
8,18642,1571,0
9,18483,1993,1
10,18642,1993,2
11,18483,641,0
12,18642,641,1
13,18483,193,2
14,18642,193,1
15,18483,384,0
16,18642,384,0
17,18483,196,0
18,18642,196,1
19,18483,1161,1
20,18642,1161,1
21,18483,1587,1
22,18642,1587,0
23,18483,1890,2
24,18642,1890,0
25,18483,1934,0
26,18642,1934,2
27,18483,1232,2
28,18642,1232,0
29,18483,1022,0
30,18642,1022,0
31,18483,1938,1
32,18642,1938,0
33,18483,1087,0
34,18642,1087,2
35,18483,1550,0
36,18642,1550,1
37,18483,580,2
38,18642,580,1
39,18483,1716,2
40,18642,1716,0
41,18483,1799,1
42,18642,1799,1
43,18483,185,2
44,18642,185,0
45,18483,684,1
46,18642,684,1
47,18483,1057,1
48,18642,1057,0
49,18483,1365,1
50,18642,1365,2
51,18483,1687,0
52,18642,1687,2
53,18483,1714,2
54,18642,1714,2
55,18483,1296,0
56,18642,1296,2
57,18483,1533,0
58,18642,1533,1
59,18483,1202,1
60,18642,1202,1
61,18483,1746,0
62,18642,1746,1
63,18483,31,0
64,18642,31,2
65,18483,1501,0
66,18642,1501,0
67,18483,105,2
68,18642,105,2
69,18483,189,0
70,18642,189,2
71,18483,1420,1
72,18642,1420,1
73,1376,1727,2
74,7958,1727,1
75,14894,1727,0
76,16902,1727,2
77,1863,932,2
78,2100,932,1
79,3238,932,1
80,7304,932,2
81,11966,932,2
82,12588,932,2
83,17990,932,1
84,18703,932,2
85,18824,932,2
86,19010,932,0
87,340,1119,2
88,1376,1119,0
89,1982,1119,0
90,6247,1119,2
91,15557,1119,0
92,18001,1119,2
93,18122,1119,0
94,1735,1137,0
95,2700,1137,2
96,3453,1137,0
97,4302,1137,1
98,17333,1137,0
99,2244,1371,0
100,2537,1371,1
101,3453,1371,1
102,4302,1371,2
103,5629,1371,0
104,8666,1371,1
105,9545,1371,1
106,13003,1371,2
107,18829,1371,0
108,1783,707,2
109,2737,707,2
110,3332,707,0
111,6355,707,2
112,8416,707,1
113,15107,707,2
114,15557,707,2
115,18129,707,1
116,18544,707,2
117,3563,1319,1
118,6355,1319,1
119,8710,1319,2
120,12588,1319,2
121,12601,1319,2
122,17996,1319,1
123,18491,1319,2
124,7687,1886,1
125,8450,1886,0
126,9366,1886,2
127,13863,1886,1
128,14582,1886,0
129,15284,1886,1
130,16124,1886,1
131,904,657,1
132,2100,657,1
133,5629,657,2
134,14682,657,1
135,14956,657,1
136,15451,657,2
137,15505,657,2
138,19051,657,0
139,1602,1658,0
140,2100,1658,2
141,3315,1658,0
142,3495,1658,0
143,4851,1658,0
144,8710,1658,1
145,9327,1658,0
146,13003,1658,0
147,14472,1658,1
148,16509,1658,2
149,1863,1906,1
150,3497,1906,2
151,5429,1906,0
152,6435,1906,2
153,9237,1906,1
154,12682,1906,0
155,13390,1906,2
156,13532,1906,0
157,14312,1906,0
158,15678,1906,1
159,16605,1906,0
160,1516,632,2
161,3397,632,1
162,4282,632,1
163,10318,632,0
164,12577,632,2
165,14186,632,2
166,14410,632,1
167,16479,632,0
168,2067,1465,2
169,3554,1465,2
170,5718,1465,1
171,6118,1465,0
172,6361,1465,0
173,6531,1465,1
174,8772,1465,2
175,9254,1465,1
176,9842,1465,0
177,13181,1465,1
178,13502,1465,0
179,16771,1465,2
180,17676,1465,1
181,10777,350,0
182,16222,350,2
183,16686,350,1
184,18215,350,1
185,1783,510,2
186,2075,510,0
187,2684,510,1
188,8407,510,0
189,9911,510,0
190,18281,510,1
191,3838,1355,1
192,5696,1355,0
193,7952,1355,2
194,8461,1355,1
195,15107,1355,1
196,17681,1355,2
197,19343,1355,0
198,1863,1567,0
199,1953,1567,2
200,2322,1567,0
201,3235,1567,1
202,6063,1567,1
203,8270,1567,0
204,14972,1567,2
205,15700,1567,1
206,17916,1567,1
207,18172,1567,2
208,18216,1567,2
209,1996,1601,2
210,5198,1601,0
211,5254,1601,1
212,7458,1601,0
213,7517,1601,2
214,8455,1601,0
215,9129,1601,1
216,17356,1601,0
217,18491,1601,0
218,18703,1601,0
219,19219,1601,0
220,3826,1883,0
221,5473,1883,2
222,12682,1883,0
223,13566,1883,2
224,3284,946,2
225,6597,946,0
226,8719,946,1
227,12493,946,1
228,18544,946,0
229,2443,1190,1
230,3323,1190,2
231,5272,1190,2
232,15557,1190,0
233,15854,1190,1
234,18001,1190,0
235,18163,1190,0
236,1712,1262,2
237,3108,1262,1
238,4334,1262,1
239,6347,1262,2
240,18123,1262,2
241,1480,1475,2
242,5807,1475,2
243,11431,1475,1
244,13502,1475,0
245,13980,1475,0
246,15936,1475,1
247,18387,1475,0
248,18447,1475,2
249,5104,66,0
250,5253,66,1
251,10930,66,2
252,13532,66,2
253,15133,66,2
254,18383,66,0
255,340,613,1
256,2101,613,0
257,6002,613,0
258,12714,613,0
259,14052,613,0
260,15336,613,2
261,16124,613,0
262,17252,613,2
263,18565,613,2
264,18824,613,2
265,1830,1181,0
266,2309,1181,0
267,3235,1181,1
268,4317,1181,2
269,5009,1181,0
270,5104,1181,2
271,5121,1181,1
272,5253,1181,0
273,5411,1181,1
274,5758,1181,1
275,7236,1181,2
276,10318,1181,1
277,11102,1181,0
278,12601,1181,0
279,14072,1181,2
280,14754,1181,1
281,15412,1181,0
282,17996,1181,0
283,19103,1181,0
284,2379,341,0
285,2443,341,2
286,2700,341,2
287,3166,341,1
288,5629,341,0
289,6347,341,0
290,12662,341,1
291,14312,341,1
292,15678,341,0
293,15750,341,0
294,15791,341,2
295,16855,341,0
296,17352,341,1
297,17865,341,1
298,18763,341,1
299,704,482,1
300,1927,482,0
301,2033,482,2
302,2881,482,1
303,6171,482,1
304,11931,482,0
305,14894,482,0
306,16771,482,2
307,17682,482,2
308,18491,482,2
309,2274,391,2
310,2507,391,0
311,2585,391,1
312,3238,391,0
313,3254,391,1
314,3332,391,0
315,6118,391,2
316,11874,391,0
317,16063,391,1
318,17142,391,0
319,2075,1498,0
320,2648,1498,1
321,2737,1498,1
322,3748,1498,2
323,5009,1498,1
324,6190,1498,1
325,12320,1498,0
326,13417,1498,0
327,16577,1498,1
328,2106,1334,0
329,4370,1334,0
330,4694,1334,1
331,5807,1334,2
332,12493,1334,2
333,13514,1334,2
334,14928,1334,2
335,16124,1334,1
336,18123,1334,1
337,3838,1556,1
338,5473,1556,0
339,6731,1556,1
340,12188,1556,2
341,12329,1556,1
342,13502,1556,0
343,14331,1556,1
344,14345,1556,1
345,14597,1556,1
346,15040,1556,2
347,16674,1556,2
348,18723,1556,1
349,18763,1556,2
350,4279,599,1
351,5189,599,1
352,5253,599,0
353,5473,599,0
354,8687,599,0
355,11567,599,1
356,14749,599,2
357,15313,599,0
358,308,692,1
359,1783,692,2
360,2113,692,1
361,3748,692,2
362,3820,692,0
363,5130,692,0
364,8085,692,2
365,8253,692,0
366,8993,692,0
367,9129,692,2
368,10008,692,2
369,18250,692,1
370,1735,736,0
371,2379,736,0
372,2691,736,0
373,3497,736,1
374,5629,736,2
375,9254,736,2
376,13863,736,1
377,16345,736,0
378,18123,736,2
379,18250,736,1
380,18316,736,1
381,745,960,2
382,2680,960,2
383,2700,960,1
384,3235,960,2
385,3515,960,2
386,8346,960,0
387,15133,960,1
388,16894,960,2
389,18967,960,2
390,1735,1223,0
391,1866,1223,1
392,2432,1223,2
393,2490,1223,1
394,3252,1223,2
395,5728,1223,0
396,8270,1223,2
397,9537,1223,0
398,10422,1223,1
399,18150,1223,0
400,1655,636,1
401,2760,636,1
402,6247,636,1
403,12394,636,1
404,13390,636,2
405,14833,636,2
406,15412,636,1
407,1426,954,2
408,2145,954,1
409,2353,954,2
410,4172,954,2
411,6611,954,2
412,8753,954,1
413,9545,954,0
414,13514,954,1
415,14862,954,2
416,17352,954,1
417,18549,954,2
418,296,1395,0
419,2616,1395,0
420,3252,1395,0
421,4694,1395,2
422,7918,1395,0
423,12827,1395,0
424,13502,1395,1
425,15872,1395,2
426,16079,1395,0
427,16281,1395,2
428,18070,1395,2
429,18122,1395,2
430,18250,1395,0
431,158,1429,2
432,6002,1429,0
433,8455,1429,1
434,15913,1429,1
435,8,1455,0
436,1376,1455,1
437,2517,1455,1
438,2648,1455,1
439,2737,1455,2
440,3822,1455,0
441,5530,1455,2
442,12329,1455,2
443,12682,1455,1
444,14615,1455,0
445,14789,1455,2
446,15791,1455,0
447,745,1053,2
448,1013,1053,1
449,2621,1053,1
450,5072,1053,2
451,6768,1053,0
452,7408,1053,0
453,8993,1053,2
454,9409,1053,1
455,12601,1053,1
456,18456,1053,0
457,2309,1393,0
458,2443,1393,2
459,4312,1393,1
460,6725,1393,1
461,9366,1393,0
462,11769,1393,1
463,14754,1393,0
464,15750,1393,0
465,15810,1393,1
466,15897,1393,0
467,18080,1393,1
468,18982,1393,2
469,446,383,1
470,620,383,0
471,1130,383,2
472,4279,383,0
473,12329,383,2
474,12357,383,1
475,14331,383,0
476,14583,383,1
477,17682,383,0
478,2422,746,1
479,10318,746,2
480,11178,746,0
481,11541,746,0
482,11931,746,2
483,15678,746,1
484,16731,746,0
485,2262,1922,1
486,3298,1922,0
487,5411,1922,0
488,7365,1922,0
489,11883,1922,1
490,12682,1922,0
491,17949,1922,1
492,18150,1922,2
493,19051,1922,2
494,704,113,2
495,3839,113,2
496,8450,113,2
497,11431,113,0
498,14425,113,1
499,16686,113,2
500,16855,113,2
501,17783,113,0
502,1754,838,0
503,3563,838,2
504,8772,838,0
505,10777,838,0
506,11541,838,1
507,11883,838,1
508,13863,838,0
509,13903,838,1
510,18150,838,0
511,1980,1099,1
512,2274,1099,0
513,6361,1099,0
514,7867,1099,0
515,8270,1099,1
516,13064,1099,0
517,17996,1099,0
518,2611,1456,1
519,2648,1456,2
520,3693,1456,1
521,8461,1456,2
522,10625,1456,1
523,14444,1456,1
524,15075,1456,0
525,16674,1456,2
526,18037,1456,0
527,1655,1866,1
528,2219,1866,0
529,2517,1866,0
530,5130,1866,0
531,11238,1866,0
532,15291,1866,1
533,17676,1866,2
534,17975,1866,0
535,18123,1866,2
536,18129,1866,0
537,18456,1866,0
538,2507,494,2
539,3347,494,2
540,4071,494,1
541,5696,494,2
542,13532,494,0
543,14799,494,1
544,18216,494,1
545,18955,494,1
546,18967,494,1
547,19016,494,0
548,1376,1469,0
549,2032,1469,2
550,2621,1469,2
551,3630,1469,1
552,4851,1469,2
553,5718,1469,1
554,6347,1469,0
555,6361,1469,2
556,9366,1469,1
557,9892,1469,2
558,14425,1469,0
559,14472,1469,2
560,15040,1469,0
561,15107,1469,0
562,15750,1469,2
563,247,4,2
564,262,4,1
565,612,4,0
566,649,4,2
567,674,4,1
568,702,4,2
569,806,4,2
570,824,4,1
571,827,4,1
572,860,4,0
573,952,4,1
574,957,4,0
575,1002,4,0
576,1127,4,2
577,1154,4,1
578,1180,4,1
579,1224,4,2
580,1229,4,0
581,1286,4,2
582,1403,4,1
583,1423,4,2
584,1618,4,1
585,1644,4,2
586,1661,4,1
587,1724,4,1
588,1852,4,2
589,1881,4,1
590,1901,4,2
591,1963,4,0
592,1964,4,0
593,2074,4,2
594,2209,4,2
595,2283,4,2
596,2365,4,0
597,2542,4,2
598,2811,4,1
599,2821,4,1
600,2922,4,0
601,2925,4,2
602,3106,4,2
603,3204,4,1
604,3213,4,1
605,3219,4,2
606,3237,4,0
607,3324,4,2
608,3376,4,0
609,3386,4,1
610,3778,4,0
611,3964,4,2
612,4088,4,2
613,4099,4,1
614,4215,4,1
615,4240,4,1
616,4291,4,2
617,4598,4,2
618,4616,4,1
619,4827,4,0
620,4997,4,2
621,5126,4,2
622,5148,4,2
623,5190,4,2
624,5192,4,1
625,5201,4,0
626,5241,4,0
627,5263,4,1
628,5368,4,0
629,5445,4,1
630,5487,4,0
631,5496,4,1
632,5536,4,0
633,5542,4,0
634,5601,4,2
635,5639,4,0
636,5653,4,1
637,5676,4,2
638,5685,4,1
639,5722,4,2
640,5780,4,2
641,5801,4,0
642,5819,4,2
643,5820,4,0
644,5831,4,2
645,5910,4,2
646,5932,4,0
647,5940,4,2
648,5963,4,2
649,5989,4,1
650,6006,4,2
651,6124,4,0
652,6180,4,0
653,6184,4,2
654,6219,4,0
655,6283,4,1
656,6378,4,2
657,6427,4,1
658,6452,4,0
659,6511,4,2
660,6520,4,0
661,6537,4,1
662,6588,4,2
663,6869,4,1
664,7021,4,2
665,7204,4,0
666,7235,4,0
667,7498,4,2
668,7536,4,1
669,7593,4,2
670,7721,4,2
671,7739,4,0
672,8001,4,2
673,8013,4,2
674,8200,4,1
675,8371,4,0
676,8384,4,1
677,8481,4,1
678,8550,4,1
679,8615,4,0
680,8709,4,2
681,8909,4,0
682,8945,4,1
683,9037,4,2
684,9060,4,2
685,9417,4,0
686,9482,4,1
687,9540,4,0
688,9564,4,2
689,9589,4,2
690,9598,4,1
691,10114,4,2
692,10445,4,1
693,11569,4,0
694,12264,4,0
695,12400,4,0
696,12401,4,2
697,12583,4,2
698,12624,4,0
699,12659,4,2
700,12751,4,1
701,13091,4,0
702,13589,4,0
703,13610,4,1
704,13662,4,1
705,13740,4,2
706,14254,4,1
707,14290,4,1
708,14305,4,2
709,14470,4,0
710,14475,4,0
711,14932,4,2
712,14945,4,0
713,15181,4,0
714,15270,4,2
