company_id,company_name,location,department,about_us,rating,awards,contact,email,website
1,MM Media Pvt Ltd,Chennai,Media / Entertainment / Internet,we are MM Media Pvt Ltd,1,Best Company in field of Media / Entertainment / Internet,9427168623,MMMediaPvtLtd.gmail.com,MMMediaPvtLtd.com
2,find live infotech,Chennai,Advertising / PR / MR / Event Management,we are find live infotech,5,Best Company in field of Advertising / PR / MR / Event Management,8304856477,findliveinfotech.gmail.com,findliveinfotech.com
3,Softtech Career Infosystem Pvt. Ltd,Bengaluru,IT-Software / Software Services,we are Softtech Career Infosystem Pvt. Ltd,2,Best Company in field of IT-Software / Software Services,9199978249,SofttechCareerInfosystemPvt.Ltd.gmail.com,SofttechCareerInfosystemPvt.Ltd.com
4,Onboard HRServices LLP,"Mumbai, Bengaluru, Kolkata, Chennai, Coimbatore, Tamilnadu",Banking / Financial Services / Broking,we are Onboard HRServices LLP,1,Best Company in field of Banking / Financial Services / Broking,1556685723,OnboardHRServicesLLP.gmail.com,OnboardHRServicesLLP.com
5,Spire Technologies and Solutions Pvt. Ltd.,Bengaluru,IT-Software / Software Services,we are Spire Technologies and Solutions Pvt. Ltd.,2,Best Company in field of IT-Software / Software Services,2054317934,SpireTechnologiesandSolutionsPvt.Ltd..gmail.com,SpireTechnologiesandSolutionsPvt.Ltd..com
6,PFS Web Global Services Pvt Ltd,Bengaluru,IT-Software / Software Services,we are PFS Web Global Services Pvt Ltd,4,Best Company in field of IT-Software / Software Services,2608940388,PFSWebGlobalServicesPvtLtd.gmail.com,PFSWebGlobalServicesPvtLtd.com
7,Kinesis Management Consultant Pvt. Ltd,"Delhi NCR, Mumbai, Bengaluru, Kochi, Greater Noida, Gurgaon, Hyderabad, Kozhikode, Lucknow",IT-Software / Software Services,we are Kinesis Management Consultant Pvt. Ltd,1,Best Company in field of IT-Software / Software Services,9357801032,KinesisManagementConsultantPvt.Ltd.gmail.com,KinesisManagementConsultantPvt.Ltd.com
8,HANSUM INDIA ELECTRONICS PVT.LTD.,Bengaluru,Industrial Products / Heavy Machinery,we are HANSUM INDIA ELECTRONICS PVT.LTD.,1,Best Company in field of Industrial Products / Heavy Machinery,4598817753,HANSUMINDIAELECTRONICSPVT.LTD..gmail.com,HANSUMINDIAELECTRONICSPVT.LTD..com
9,Accenture,Bengaluru,IT-Software / Software Services,we are Accenture,5,Best Company in field of IT-Software / Software Services,6352372578,Accenture.gmail.com,Accenture.com
10,Premium,"Mumbai, Delhi, Bengaluru",FMCG / Foods / Beverage,we are Premium,1,Best Company in field of FMCG / Foods / Beverage,1297818139,Premium.gmail.com,Premium.com
11,Sinai Global,Bengaluru,IT-Software / Software Services,we are Sinai Global,5,Best Company in field of IT-Software / Software Services,5879581987,SinaiGlobal.gmail.com,SinaiGlobal.com
12,Mathematical Computing Software Company,Bengaluru,IT-Software / Software Services,we are Mathematical Computing Software Company,2,Best Company in field of IT-Software / Software Services,4583825588,MathematicalComputingSoftwareCompany.gmail.com,MathematicalComputingSoftwareCompany.com
