exp_id,company,year1,year2,role
1,Khau Gali Deals,4,8,sr product manager
2,SNic India,0,5,program manager
3,Landis Gyr Ltd.,2,4,finance specialist
4,DrivoJoyÂ ,1,5,founder & president
5,Copal Research India Private Limited,2,5,software
6,Anubavam Technologies Pvt. Ltd.,7,12,manufacturing engineering manager
7,Travelladder Services Pvt Ltd,1,5,technology lead
8,Burgeon It Services Pvt Ltd,0,3,post doc
9,ANGEL JOBS,5,10,production officer
10,NATIONAL PLACEMENT SERVICES,4,7,architetto
11,Vodafone bpo,10,20,senior software development engineer
12,ASA BHANU TECHNICAL SERVICES LTD.,1,3,cabeleireiro(a)
13,One of the Leading Plastic Industry,6,11,employer
14,mindgrid technologies pvt ltd,4,9,visual merchandising manager
15,CipherCloud India Private Limited,5,8,marketer
16,TopYaps.com,2,7,office clerk
17,CriterionSoft India Pvt. Ltd.,2,3,instructional assistant
18,Prithvi Manpower Consultants,0,3,senior mechanical engineer
19,BlueRose Technologies Pvt Ltd,4,8,jornalista
20,OSWAL REALTY,3,7,sargento
21,ACESOFT LABS INDIA PVT. LTD,5,7,supply chain planner
22,visions,0,1,professional actor
23,Surya International,2,7,senior php developer
24,MAA Communications,10,15,rentner
25,Zobble Solutions Pvt. Ltd.,3,7,planning manager
26,Sanumas Solutions,2,7,adjointe administrative
27,FAUNA Technologies Pvt. Ltd,14,18,assistante ressources humaines
28,Fareportal India Pvt Ltd.,4,7,plant manager
29,Rell Technology Solutions,5,10,banker
30,Netsutra.com,4,8,sales professional
31,Confidential,8,10,store supervisor
32,Slice Consulting,3,8,pastor
33,Seaga India Pvt. Ltd,3,5,founder president
34,Bello Jewels Pvt Ltd,1,3,senior editor
35,Stixis Technologies Pvt Ltd,5,10,head cook
36,Net Creative Mind Solutions Pvt Ltd.,2,4,tirocinante
37,Space Jet Solutions,1,6,laboratory technician
38,Reliason Solutions Ltd,0,2,labourer
39,Avon Beauty Products India Pvt Ltd,7,10,human resources benefits director
40,PCDS Infotech (P). Ltd.,1,3,police sergeant
41,Next Bee,3,8,business development director
42,Centum Learning Limited,0,5,student representative
43,Lyn Business,2,3,director of admissions
44,Naina Soft Pvt Ltd.,2,6,government
45,Puretech Internet Pvt. Ltd.,2,7,secretaire
46,broadway infotech pvt ltd,2,7,support engineer
47,DigiCall Teleservices Private Limited,0,2,geschäftsführung
48,Ina elite hospitality Pvt Ltd,3,5,technical writer
49,"FCI CCM, Inc.",1,4,vp finance
50,Real Image Media Technologies Pvt. Ltd.,0,4,emergency room rn
51,Hexaware Technologies Ltd (Hexaware- BPS),15,20,praticante avvocato
52,Qumu,7,12,recruitment
53,Accuprosys Global Pvt Ltd,2,3,storeman
54,Intellect Design Arena,4,9,technical designer
55,Novo Nordisk Centre (India) Pvt Ltd,5,8,assistente fiscal
56,Vinclo System,0,2,audit associate
57,B. R. Solutions,3,8,delivery
58,Madhyam Buildtech Pvt. Ltd.,6,11,graduate intern
59,Zicom,0,0,network administrator
60,Sanguine Global,3,4,graduate researcher
61,First Step Digital Private Limited,1,2,certified pharmacy technician
62,VEGA Intellisoft Private Limited,6,10,agente de viajes
63,STRYKER CORPORATION,6,11,greeter
64,Antosys,2,5,tech support
65,Policybazaar India,2,7,journaliste
66,SFO Technologies Pvt. Ltd.,3,8,principal
67,Arminus Software Pvt. Ltd.,3,8,tax accountant
68,SYNCTON IT Solutions,2,4,président
69,Narne Estates Private Limited,2,4,educational assistant
70,Sona Plastic Industries,9,13,seaman
71,Head Hunterz,0,4,pædagogmedhjælper
72,Digital Harbor,4,9,fifth grade teacher
73,Shivam Autozone India Pvt Ltd,3,8,civil servant
74,AGS HEALTH PRIVATE LIMITED,0,4,housekeeping manager
75,IDS Logic Pvt Ltd,1,5,representative
76,Boston Software Consultants India Pvt. Ltd.,10,13,junior consultant
77,Mentor Graphics India Pvt. Ltd.,8,10,summer camp counselor
78,Incise Infotech,0,2,f&b manager
79,Qtech Software Pvt.Ltd.,5,10,vendeuse
80,JD Group Limited.,2,5,nurse
81,Unacademy,2,6,freelance translator
82,Analogics Tech India Limited,1,6,venditore
83,Jobstreet Com India Pvt Ltd,1,3,process manager
84,Talocity,8,12,product development manager
85,inventors tech,1,3,food service director
86,Scannhum Hr Solutions,4,8,product manager
87,Gionik Human Capital Solutions,5,8,traffic manager
88,DLEminds Technologies,9,14,assitant manager
89,Vinamrata's Make-up Garden,0,3,owner/manager
90,Style Spa Furniture Ltd,2,7,profesora
91,Raksha TPA Pvt. Ltd,15,18,psicóloga
92,Quallent Technologies Pvt Ltd,0,3,operations supervisor
93,Traviate Online Pvt Ltd,2,3,education teacher
94,Welcome Infraestate Pvt Ltd.,7,10,sales man
95,GOURAV ROSHNI LIMITED,3,8,verkoopster
96,Growel Softech Ltd,2,5,line producer
97,Sutherland Global Services,7,9,development
98,St. Columbus School,4,8,programmer analyst
99,People Ply,8,10,insegnante
100,RheinBrï¿½cke IT Consulting GmbH,1,3,medicina
101,VAISHNO DEVI FOOD PRODUCTS PVT. LTD.,5,10,diseñadora
102,Helios Global Services,2,5,independent contractor
103,SPRP,1,2,production coordinator
104,SPA Capital Services Ltd.,8,10,mahasiswa
105,Focus Edu Care Inc,8,13,inginer
106,Vedatya Institute,0,2,senior it consultant
107,OnMobile Global Limited,20,30,salgskonsulent
108,Inventech Info,4,6,teacher assistant
109,Gratisol Labs Limited,0,3,almacenista
110,Spire Technologies and Solutions Pvt. Ltd.,6,10,vicepresidente
111,Realistic Realtors,3,5,manager or supervisor
112,FINETURN SOLUTIONS AND SERVICES PVT LTD,0,3,client advisor
113,Skyhigh Networks,3,8,heavy equipment operator
114,ENDEAVOUR SOFTWARE SOLUTIONS,7,10,responsable magasin
115,Emittance Pvt. Ltd.,5,7,policy analyst
116,Expert Consultant,8,10,legal extern
117,zaakpay,3,6,mental health therapist
118,rp consultant,2,6,dance teacher
119,Arisen Technologies,2,4,contracting officer
120,Php Expert Group Pvt. Ltd,3,4,guitarist
121,SBI Life Insurance Co. Ltd,3,7,geometra
122,Laksh Human Resource India Private Limited,5,10,pricing manager
