exp_id,company,start_year,years,role,user_id
1,iConcept Software Services Pvt. Ltd.,2000,2002,franchise owner,70
1,iConcept Software Services Pvt. Ltd.,2000,2002,franchise owner,1871
2,Adecco India,2008,2010,warehouse employee,1178
2,Adecco India,2008,2010,warehouse employee,1669
3,OpenText Corp.,2006,2008,senior field service engineer,88
3,OpenText Corp.,2006,2008,senior field service engineer,130
3,OpenText Corp.,2006,2008,senior field service engineer,365
4,Carzonrent (India) Pvt Ltd,2004,2005,senior copywriter,481
4,Carzonrent (India) Pvt Ltd,2004,2005,senior copywriter,1207
4,Carzonrent (India) Pvt Ltd,2004,2005,senior copywriter,1315
4,Carzonrent (India) Pvt Ltd,2004,2005,senior copywriter,1543
4,Carzonrent (India) Pvt Ltd,2004,2005,senior copywriter,1813
6,Medi Assist India Pvt Ltd,2004,2009,reservation agent,202
6,Medi Assist India Pvt Ltd,2004,2009,reservation agent,380
8,Epoch Distribution Pvt Ltd,2002,2007,paramedic,311
8,Epoch Distribution Pvt Ltd,2002,2007,paramedic,437
8,Epoch Distribution Pvt Ltd,2002,2007,paramedic,1208
9,Zobble Solutions Pvt. Ltd.,2005,2007,performance analyst,1575
9,Zobble Solutions Pvt. Ltd.,2005,2007,performance analyst,1915
10,Golkonda Resorts Private Ltd,2007,2012,field coordinator,271
10,Golkonda Resorts Private Ltd,2007,2012,field coordinator,581
10,Golkonda Resorts Private Ltd,2007,2012,field coordinator,800
10,Golkonda Resorts Private Ltd,2007,2012,field coordinator,1995
11,TeriMeriChoice.com,2005,2007,lineman,1074
11,TeriMeriChoice.com,2005,2007,lineman,1918
12,STAR India network,2002,2003,client services specialist,1391
12,STAR India network,2002,2003,client services specialist,1661
13,Study Vault Education Pvt. Ltd,2002,2007,blogger,1711
14,izone solutions ltd,2005,2008,it architect,760
15,Think Technology Services.,2004,2006,executive,7
16,SoftElixir InfoTech (P) Ltd.,2004,2008,proprietario,130
16,SoftElixir InfoTech (P) Ltd.,2004,2008,proprietario,1765
16,SoftElixir InfoTech (P) Ltd.,2004,2008,proprietario,1854
17,Globallogic India Ltd.,2003,2008,managing partner,438
18,Creative Hands HR Consultancy,2004,2005,special projects,445
18,Creative Hands HR Consultancy,2004,2005,special projects,839
19,Expeditious Staffing Services LLP,2003,2005,photo editor,1728
20,Bonace Engineering,2000,2001,service advisor,484
20,Bonace Engineering,2000,2001,service advisor,1688
21,Beroe Inc,2005,2010,childcare worker,1386
22,risingphoenix,2005,2010,early childhood educator,101
24,ANI Instruments Pvt. Ltd.,2003,2005,projetista,187
24,ANI Instruments Pvt. Ltd.,2003,2005,projetista,587
25,Cybell Technosys Pvt. Ltd,2000,2002,trial attorney,187
25,Cybell Technosys Pvt. Ltd,2000,2002,trial attorney,604
25,Cybell Technosys Pvt. Ltd,2000,2002,trial attorney,630
25,Cybell Technosys Pvt. Ltd,2000,2002,trial attorney,812
25,Cybell Technosys Pvt. Ltd,2000,2002,trial attorney,1369
26,Web Key Network.com,2000,2003,marketing and sales manager,1564
27,Siemens Limited,2002,2002,mecânico,629
27,Siemens Limited,2002,2002,mecânico,1375
27,Siemens Limited,2002,2002,mecânico,1860
27,Siemens Limited,2002,2002,mecânico,1941
28,Wisdom Infotech,2004,2009,educational assistant,190
28,Wisdom Infotech,2004,2009,educational assistant,1142
28,Wisdom Infotech,2004,2009,educational assistant,1492
29,JKT,2003,2005,mechanical designer,145
29,JKT,2003,2005,mechanical designer,518
30,IPSA BUSINESS INDIA PVT. LTD.,2002,2007,gerente de negócios,346
30,IPSA BUSINESS INDIA PVT. LTD.,2002,2007,gerente de negócios,1268
30,IPSA BUSINESS INDIA PVT. LTD.,2002,2007,gerente de negócios,1374
30,IPSA BUSINESS INDIA PVT. LTD.,2002,2007,gerente de negócios,1748
31,Bloom Systems Pvt. Ltd.,2002,2004,lifeguard,1136
32,Hewlett Packard Enterprise,2002,2005,owner/designer,1614
32,Hewlett Packard Enterprise,2002,2005,owner/designer,1928
33,ACME Consulting,2000,2005,financial services representative,274
33,ACME Consulting,2000,2005,financial services representative,488
33,ACME Consulting,2000,2005,financial services representative,1335
33,ACME Consulting,2000,2005,financial services representative,1521
33,ACME Consulting,2000,2005,financial services representative,1626
34,Ora Regenesis Spa,2010,2015,technical associate,1022
34,Ora Regenesis Spa,2010,2015,technical associate,1938
35,The Shaw Academy,2004,2009,owner/ceo,115
35,The Shaw Academy,2004,2009,owner/ceo,606
35,The Shaw Academy,2004,2009,owner/ceo,1025
36,Blueberry Labs Private Limited,2002,2006,reviewer,690
36,Blueberry Labs Private Limited,2002,2006,reviewer,1499
36,Blueberry Labs Private Limited,2002,2006,reviewer,1575
37,Chetu India Pvt. Ltd.,2003,2008,adjunct professor,1304
37,Chetu India Pvt. Ltd.,2003,2008,adjunct professor,1720
37,Chetu India Pvt. Ltd.,2003,2008,adjunct professor,1787
38,Corporate Placement and Liaisoning Services,2001,2005,musico,323
39,Volen Software Services Pvt.ltd,2010,2015,area sales executive,522
40,Reliance Capital Limited,2001,2006,sales and marketing director,261
40,Reliance Capital Limited,2001,2006,sales and marketing director,1062
40,Reliance Capital Limited,2001,2006,sales and marketing director,1910
41,SRI Consultant,2012,2018,greater boston area | professional profile,603
42,Stryker India,2015,2019,hr generalist,1233
43,Gautam Polymers,2004,2006,senior producer,1015
44,Angel Broking Limited,2001,2003,assurance associate,1437
45,Advanced Hair Studio Pvt. Ltd.,2008,2012,manufacturing,724
46,Zomato Media Private Limited,2010,2015,project delivery,1258
46,Zomato Media Private Limited,2010,2015,project delivery,1969
47,Augen Technologies Software Solutions Pvt Ltd,2008,2012,information technology technician,308
47,Augen Technologies Software Solutions Pvt Ltd,2008,2012,information technology technician,422
47,Augen Technologies Software Solutions Pvt Ltd,2008,2012,information technology technician,1247
48,POLE TO WIN INTERNATIONAL,2002,2007,builder,662
50,RiverForest Connections Private Limited,2005,2009,legislative assistant,150
51,infocim LLC,2010,2015,dealer,177
51,infocim LLC,2010,2015,dealer,1503
51,infocim LLC,2010,2015,dealer,1999
53,Amagi Media Labs Pvt. Ltd.,2005,2007,customer consultant,484
54,"Saaki, Argus & Averil Consulting",2009,2013,finance analyst,11
54,"Saaki, Argus & Averil Consulting",2009,2013,finance analyst,1945
55,BOSS Computec Private Limited,2007,2012,senior financial consultant,1570
56,Automotive Manufacturers Pvt. Ltd.,2000,2005,editor,156
56,Automotive Manufacturers Pvt. Ltd.,2000,2005,editor,831
57,Computer Enterprises Inc,2005,2010,band director,477
58,Plutonix Solutions,2005,2008,development engineer,1338
59,Alpine Management,2002,2006,assistant manager,200
59,Alpine Management,2002,2006,assistant manager,253
59,Alpine Management,2002,2006,assistant manager,1024
59,Alpine Management,2002,2006,assistant manager,1579
60,Prompt Personnel,2001,2005,médica,869
60,Prompt Personnel,2001,2005,médica,1180
60,Prompt Personnel,2001,2005,médica,1433
62,Target Corporation India Pvt Ltd,2002,2004,coordenador de projetos,652
62,Target Corporation India Pvt Ltd,2002,2004,coordenador de projetos,1302
62,Target Corporation India Pvt Ltd,2002,2004,coordenador de projetos,1568
63,Arsal Constructions,2003,2005,caregiver,681
63,Arsal Constructions,2003,2005,caregiver,1729
65,Spire Technologies and Solutions Pvt. Ltd.,2004,2006,medical laboratory technologist,341
65,Spire Technologies and Solutions Pvt. Ltd.,2004,2006,medical laboratory technologist,441
65,Spire Technologies and Solutions Pvt. Ltd.,2004,2006,medical laboratory technologist,741
66,Tourcop,2005,2008,executive creative director,422
66,Tourcop,2005,2008,executive creative director,1103
67,Manik IT and Infrstructure Services Pvt. Ltd.,2003,2008,dozent,506
68,Speed Jobs Consultancy,2000,2000,mail carrier,837
68,Speed Jobs Consultancy,2000,2000,mail carrier,1762
70,INTROLLIGENT SOLUTIONS PVT LTD,2001,2006,contributor,327
70,INTROLLIGENT SOLUTIONS PVT LTD,2001,2006,contributor,1276
70,INTROLLIGENT SOLUTIONS PVT LTD,2001,2006,contributor,1406
70,INTROLLIGENT SOLUTIONS PVT LTD,2001,2006,contributor,1489
71,OnGraph Technologies Private Limited,2000,2003,escrow officer,458
71,OnGraph Technologies Private Limited,2000,2003,escrow officer,1765
72,HACKEREARTH INC,2003,2008,business development assistant,756
72,HACKEREARTH INC,2003,2008,business development assistant,1704
74,BRIGHTWAY HR CONSULTING SERVICES PRIVATE LIMITED,2006,2011,manager in training,948
74,BRIGHTWAY HR CONSULTING SERVICES PRIVATE LIMITED,2006,2011,manager in training,983
75,Bharti Infratel Ltd,2000,2004,management trainee,140
75,Bharti Infratel Ltd,2000,2004,management trainee,1104
76,Constient Global Solutions Pvt Ltd,2003,2008,junior web developer,660
77,TRANSPORTDUNIYA,2001,2003,payroll,210
77,TRANSPORTDUNIYA,2001,2003,payroll,298
77,TRANSPORTDUNIYA,2001,2003,payroll,594
77,TRANSPORTDUNIYA,2001,2003,payroll,656
78,IOTA LEARNING,2002,2003,service engineer,160
78,IOTA LEARNING,2002,2003,service engineer,759
78,IOTA LEARNING,2002,2003,service engineer,1311
80,FCS Software Solutions Limited,2002,2007,stay at home mom,867
81,Wize Careers Consultants,2003,2008,projectmedewerker,1727
82,"PrimeSoft Solutions, Inc",2010,2013,board director,923
82,"PrimeSoft Solutions, Inc",2010,2013,board director,1665
83,Enhance Clinics,2005,2008,gallery,1038
83,Enhance Clinics,2005,2008,gallery,1349
84,Omega Intermodal Container Services Pvt. Ltd.,2000,2001,quality assurance,148
84,Omega Intermodal Container Services Pvt. Ltd.,2000,2001,quality assurance,849
84,Omega Intermodal Container Services Pvt. Ltd.,2000,2001,quality assurance,1380
85,Encoders,2001,2003,senior application developer,1216
87,Oceanic e-Tech Solutions Pvt. Ltd,2003,2007,billing coordinator,88
88,Chola MS Risk Services,2001,2002,web developer,241
88,Chola MS Risk Services,2001,2002,web developer,1462
88,Chola MS Risk Services,2001,2002,web developer,1510
89,Batoi Systems Pvt Ltd,2003,2004,front desk agent,166
89,Batoi Systems Pvt Ltd,2003,2004,front desk agent,466
90,Jobzebra HR Services Pvt. Ltd,2001,2003,pharmacy assistant,343
91,CA (India) Technologies Private Limited,2005,2010,staff consultant,158
91,CA (India) Technologies Private Limited,2005,2010,staff consultant,572
91,CA (India) Technologies Private Limited,2005,2010,staff consultant,1445
92,ETP International Pvt. Limited,2005,2008,artista,1046
92,ETP International Pvt. Limited,2005,2008,artista,1700
93,Jireh Software Solutions,2003,2006,it supervisor,589
93,Jireh Software Solutions,2003,2006,it supervisor,1055
94,RELICMAIL,2001,2003,retail,184
94,RELICMAIL,2001,2003,retail,469
96,T R Manpower Consultants Pvt Ltd.,2003,2008,supply teacher,1530
97,Sutherland Global Services Inc,2004,2009,accounts payable analyst,234
97,Sutherland Global Services Inc,2004,2009,accounts payable analyst,478
97,Sutherland Global Services Inc,2004,2009,accounts payable analyst,485
97,Sutherland Global Services Inc,2004,2009,accounts payable analyst,859
97,Sutherland Global Services Inc,2004,2009,accounts payable analyst,1106
97,Sutherland Global Services Inc,2004,2009,accounts payable analyst,1243
97,Sutherland Global Services Inc,2004,2009,accounts payable analyst,1578
97,Sutherland Global Services Inc,2004,2009,accounts payable analyst,1968
98,Brickwork Ratings,2012,2015,associate project manager,1578
98,Brickwork Ratings,2012,2015,associate project manager,1705
99,Dexterity Technologies,2001,2005,kindergarten teacher,1722
99,Dexterity Technologies,2001,2005,kindergarten teacher,1786
100,Naaptol Online Shopping Pvt Ltd,2004,2006,qa manager,1981
101,Oil Field Warehouse & Services,2007,2012,music producer,749
101,Oil Field Warehouse & Services,2007,2012,music producer,964
101,Oil Field Warehouse & Services,2007,2012,music producer,1117
101,Oil Field Warehouse & Services,2007,2012,music producer,1301
101,Oil Field Warehouse & Services,2007,2012,music producer,1731
102,CUBIC WEB SOLUTIONS,2002,2005,elektriker,244
103,Contus,2000,2005,cfo,482
103,Contus,2000,2005,cfo,560
103,Contus,2000,2005,cfo,944
103,Contus,2000,2005,cfo,1446
103,Contus,2000,2005,cfo,1652
104,Naina Soft Pvt Ltd.,2004,2009,student internship,870
104,Naina Soft Pvt Ltd.,2004,2009,student internship,1371
105,Connaissance IT,2000,2005,computer programmer,1751
106,NMIMS (SPP-SPTM),2004,2008,optician,446
107,Navayuga Consultancy Service,2000,2002,control room operator,337
107,Navayuga Consultancy Service,2000,2002,control room operator,1447
107,Navayuga Consultancy Service,2000,2002,control room operator,1734
108,valyoo technologies pvt ltd,2001,2004,product engineer,1727
