exp_id,company,start_year,years,role
1,iConcept Software Services Pvt. Ltd.,2000,2002,franchise owner
2,Adecco India,2008,2010,warehouse employee
3,OpenText Corp.,2006,2008,senior field service engineer
4,Carzonrent (India) Pvt Ltd,2004,2005,senior copywriter
5,EMC Data Storage Systems (India) Private Limited.,2003,2007,attachée commerciale
6,Medi Assist India Pvt Ltd,2004,2009,reservation agent
7,Vision2Value Services Private Limited,2000,2003,human resources analyst
8,Epoch Distribution Pvt Ltd,2002,2007,paramedic
9,Zobble Solutions Pvt. Ltd.,2005,2007,performance analyst
10,Golkonda Resorts Private Ltd,2007,2012,field coordinator
11,TeriMeriChoice.com,2005,2007,lineman
12,STAR India network,2002,2003,client services specialist
13,Study Vault Education Pvt. Ltd,2002,2007,blogger
14,izone solutions ltd,2005,2008,it architect
15,Think Technology Services.,2004,2006,executive
16,SoftElixir InfoTech (P) Ltd.,2004,2008,proprietario
17,Globallogic India Ltd.,2003,2008,managing partner
18,Creative Hands HR Consultancy,2004,2005,special projects
19,Expeditious Staffing Services LLP,2003,2005,photo editor
20,Bonace Engineering,2000,2001,service advisor
21,Beroe Inc,2005,2010,childcare worker
22,risingphoenix,2005,2010,early childhood educator
23,adroitent,2002,2004,fraud analyst
24,ANI Instruments Pvt. Ltd.,2003,2005,projetista
25,Cybell Technosys Pvt. Ltd,2000,2002,trial attorney
26,Web Key Network.com,2000,2003,marketing and sales manager
27,Siemens Limited,2002,2002,mecânico
28,Wisdom Infotech,2004,2009,educational assistant
29,JKT,2003,2005,mechanical designer
30,IPSA BUSINESS INDIA PVT. LTD.,2002,2007,gerente de negócios
31,Bloom Systems Pvt. Ltd.,2002,2004,lifeguard
32,Hewlett Packard Enterprise,2002,2005,owner/designer
33,ACME Consulting,2000,2005,financial services representative
34,Ora Regenesis Spa,2010,2015,technical associate
35,The Shaw Academy,2004,2009,owner/ceo
36,Blueberry Labs Private Limited,2002,2006,reviewer
37,Chetu India Pvt. Ltd.,2003,2008,adjunct professor
38,Corporate Placement and Liaisoning Services,2001,2005,musico
39,Volen Software Services Pvt.ltd,2010,2015,area sales executive
40,Reliance Capital Limited,2001,2006,sales and marketing director
41,SRI Consultant,2012,2018,greater boston area | professional profile
42,Stryker India,2015,2019,hr generalist
43,Gautam Polymers,2004,2006,senior producer
44,Angel Broking Limited,2001,2003,assurance associate
45,Advanced Hair Studio Pvt. Ltd.,2008,2012,manufacturing
46,Zomato Media Private Limited,2010,2015,project delivery
47,Augen Technologies Software Solutions Pvt Ltd,2008,2012,information technology technician
48,POLE TO WIN INTERNATIONAL,2002,2007,builder
49,Eon Infotech Ltd,2002,2004,inginer
50,RiverForest Connections Private Limited,2005,2009,legislative assistant
51,infocim LLC,2010,2015,dealer
52,eMaven Solutions Pvt. Ltd.,2000,2003,gestor comercial
53,Amagi Media Labs Pvt. Ltd.,2005,2007,customer consultant
54,"Saaki, Argus & Averil Consulting",2009,2013,finance analyst
55,BOSS Computec Private Limited,2007,2012,senior financial consultant
56,Automotive Manufacturers Pvt. Ltd.,2000,2005,editor
57,Computer Enterprises Inc,2005,2010,band director
58,Plutonix Solutions,2005,2008,development engineer
59,Alpine Management,2002,2006,assistant manager
60,Prompt Personnel,2001,2005,médica
61,Mpee Kitchenette Pvt Ltd,2001,2006,nutricionista
62,Target Corporation India Pvt Ltd,2002,2004,coordenador de projetos
63,Arsal Constructions,2003,2005,caregiver
64,EVT CloudServices Pvt Ltd.,2001,2003,special education teacher
65,Spire Technologies and Solutions Pvt. Ltd.,2004,2006,medical laboratory technologist
66,Tourcop,2005,2008,executive creative director
67,Manik IT and Infrstructure Services Pvt. Ltd.,2003,2008,dozent
68,Speed Jobs Consultancy,2000,2000,mail carrier
69,Indian Immunologicals Ltd.,2007,2010,stylist
70,INTROLLIGENT SOLUTIONS PVT LTD,2001,2006,contributor
71,OnGraph Technologies Private Limited,2000,2003,escrow officer
72,HACKEREARTH INC,2003,2008,business development assistant
73,Arowana Consulting,2008,2009,owner principal
74,BRIGHTWAY HR CONSULTING SERVICES PRIVATE LIMITED,2006,2011,manager in training
75,Bharti Infratel Ltd,2000,2004,management trainee
76,Constient Global Solutions Pvt Ltd,2003,2008,junior web developer
77,TRANSPORTDUNIYA,2001,2003,payroll
78,IOTA LEARNING,2002,2003,service engineer
79,THE YOUNG DESIGNERS,2008,2010,salesperson
80,FCS Software Solutions Limited,2002,2007,stay at home mom
81,Wize Careers Consultants,2003,2008,projectmedewerker
82,"PrimeSoft Solutions, Inc",2010,2013,board director
83,Enhance Clinics,2005,2008,gallery
84,Omega Intermodal Container Services Pvt. Ltd.,2000,2001,quality assurance
85,Encoders,2001,2003,senior application developer
86,TeleDNA Communications Pvt. Ltd.,2002,2007,lead project manager
87,Oceanic e-Tech Solutions Pvt. Ltd,2003,2007,billing coordinator
88,Chola MS Risk Services,2001,2002,web developer
89,Batoi Systems Pvt Ltd,2003,2004,front desk agent
90,Jobzebra HR Services Pvt. Ltd,2001,2003,pharmacy assistant
91,CA (India) Technologies Private Limited,2005,2010,staff consultant
92,ETP International Pvt. Limited,2005,2008,artista
93,Jireh Software Solutions,2003,2006,it supervisor
94,RELICMAIL,2001,2003,retail
95,WebSkyIndia,2002,2007,webmaster
96,T R Manpower Consultants Pvt Ltd.,2003,2008,supply teacher
97,Sutherland Global Services Inc,2004,2009,accounts payable analyst
98,Brickwork Ratings,2012,2015,associate project manager
99,Dexterity Technologies,2001,2005,kindergarten teacher
100,Naaptol Online Shopping Pvt Ltd,2004,2006,qa manager
101,Oil Field Warehouse & Services,2007,2012,music producer
102,CUBIC WEB SOLUTIONS,2002,2005,elektriker
103,Contus,2000,2005,cfo
104,Naina Soft Pvt Ltd.,2004,2009,student internship
